バス会社ID,バス会社名称
1258,（有）やぐちタクシー
1259,祇園交通（株）
1260,（株）ささき観光
1261,（有）倉橋交通
1262,（有）野呂山タクシー
1263,ひまわり交通（株）（旧：（株）船浬）
1264,安浦交通
1265,加計交通（株）
1266,三ツ矢タクシー
1267,三段峡交通（株）
1268,西城交通（有）
1269,北広島町
1270,防長交通（株）
1271,サンデン交通（株）
1272,宇部市
1273,ブルーライン交通（株）
1274,山口市
1275,下関市
1276,岩国市
1277,阿武町
1278,いわくにバス（株）
1279,船木鉄道（株）
1280,人丸タクシー（株）
1281,周防大島町
1282,上関町
1283,光市
1284,萩市
1285,和木町
1286,周南市
1287,新日本観光交通（株）（旧：安全タクシー（有））
1288,西日本バスネットサービス（株）
1289,長門山電タクシー（有）
1290,冨士第一交通（株）
1291,徳島バス（株）
1292,徳島バス南部（株）
1293,徳島バス阿南（株）
1294,四国交通（株）
1295,徳島市
1296,海陽町
1297,鳴門市
1298,小松島市
1299,阿南市
1300,（有）市場交通
1301,藤西阿観光（株）
1302,JR四国バス（株）
1303,四国高速バス（株）
1304,琴平バス（株）
1305,ことでんバス（株）
1306,高松エクスプレス（株）
1307,三豊市
1308,大川自動車（株）
1309,小豆島オリーブバス（株）（旧：小豆島バス（株））
1310,琴参バス（株）（旧：琴平参宮電鉄（株））
1311,さぬき市
1312,観音寺市
1313,高松市
1314,丸亀市
1315,綾川町
1316,三木町
1317,直島町
1318,坂出市
1319,鬼ヶ島観光自動車（株）
1320,伊予鉄道（株）
1321,宇和島自動車（株）
1322,瀬戸内運輸（株）
1323,伊予鉄南予バス（株）
1324,せとうち周桑バス（株）
1325,瀬戸内海交通（株）
1326,肱南観光バス（株）
1327,いずみ観光（株）
1328,愛南町
1329,中島汽船（株）
1330,松野町
1331,新居浜市
1332,松前町
1333,大洲市
1334,上島町
1335,宇和島市
1336,高知県交通（株）
1337,土佐電気鉄道（株）
1338,高知西南交通（株）
1339,仁淀川町
1340,（株）四万十交通
1341,土佐電ドリームサービス（株）
1342,（株）県交北部交通
1343,高知高陵交通（株）
1344,（有）嶺北観光自動車
1345,安芸市
1346,北川村
1347,（有）黒岩観光
1348,香美市
1349,香南市
1350,高知東部交通（株）
1351,三原村
1352,津野町
1353,（株）高知駅前観光
1354,土佐市
1355,須崎市
1356,いの町
1357,芸西村
1358,高知市
1359,西日本鉄道（株）
1360,JR九州バス（株）
1361,西鉄高速バス（株）
1362,西鉄バス北九州（株）
1363,北九州市
1364,西鉄バス久留米（株）
1365,西鉄バス筑豊（株）
1366,西鉄バス二日市（株）
1367,飯塚市
1368,西鉄バス大牟田（株）
1369,堀川バス（株）
1370,西鉄バス宗像（株）
1371,太陽交通（株）
1372,那珂川町
1373,嘉麻市
1374,糸島市
1375,宮若市
1376,（株）甘木観光バス
1377,宗像市
1378,岡垣町
1379,福津市
1380,小郡市
1381,柳川市
1382,豊前市
1383,苅田町
1384,築上町
1385,添田町
1386,太宰府市
1387,上毛町
1388,八女市
1389,春日市
1390,遠賀町
1391,須恵町
1392,小竹町
1393,大野城市
1394,うきは市
1395,新宮町
1396,福岡市
1397,朝倉市
1398,鞍手町
1399,みやこ町
1400,吉富町
1401,久山町
1402,直方市
1403,田川市
1404,福岡市西区
1405,柳川西鉄タクシー（株）
1406,芦屋町
1407,西鉄バス（株）
1408,有明交通（株）
1409,昭和自動車（株）
1410,西鉄バス佐賀（株）
1411,佐賀市
1412,祐徳バス（株）
1413,小城市
1414,有田市
1415,神埼市
1416,多久市
1417,鳥栖市
1418,唐津市
1419,みやき町
1420,吉野ヶ里町
1421,上峰町
1422,武雄市
1423,江北町
1424,基山町
1425,嬉野市
1426,白石町
1427,鹿島市
1428,伊万里市
1429,（有）旭タクシー
1430,（有）丸金タクシー
1431,（有）橋間自動車
1432,こだまタクシー（株）
1433,佐世保市
1434,西肥自動車（株）
1435,長崎自動車（株）
1436,長崎県
1437,九州急行バス（株）
1438,対馬交通（株）
1439,壱岐交通（株）
1440,島原鉄道（株）
1441,五島自動車（株）
1442,長崎県央バス（株）
1443,平戸市
1444,長崎市
1445,（有）SOUDA
1446,対馬市
1447,（有）松浦観光バス
1448,小値賀交通（株）
1449,東彼杵町
1450,五島市
1451,新上五島町
1452,丸濱産業（有）
1453,生月自動車（有）
1454,雲仙市
1455,松浦市
1456,宇久観光バス（株）
1457,大村市
1458,（有）アタゴ商事
1459,大分バス（株）
1460,大分交通（株）
