市区町村名,緯度,経度,区内バス停ID,バス会社名称,バス停名称
千代田区,35.679175,139.76909,253,高速バス,バスターミナル東京八重洲
千代田区,35.679251,139.768918,254,高速バス,バスターミナル東京八重洲
千代田区,35.679073,139.76871,255,高速バス,バスターミナル東京八重洲
渋谷区,35.688687,139.700627,256,京王バス,バスタ新宿〔新宿駅新南口〕
渋谷区,35.688688,139.700627,257,高速バス,バスタ新宿〔新宿駅新南口〕
渋谷区,35.688616,139.700824,258,関越交通（株）,バスタ新宿〔新宿駅新南口〕
渋谷区,35.688829,139.701094,259,高速バス,バスタ新宿〔新宿駅新南口〕
葛飾区,35.790265,139.8683,260,京成バス（株）,バーベキュー広場・冒険広場入口
葛飾区,35.793229,139.866197,261,京成バス（株）,バーベキュー広場・冒険広場入口
大田区,35.590823,139.663923,262,東急バス（株）,パークウェイ入口
新宿区,35.686428,139.690118,263,京王バス,パークハイアット東京前
渋谷区,35.648507,139.700211,264,東急バス・東急トランセ,ヒルサイドテラス
新宿区,35.692697,139.690977,265,,ヒルトン東京
港区,35.626373,139.770209,266,,ヒルトン東京お台場
江東区,35.629479,139.789609,267,都営バス,フェリー埠頭入口
渋谷区,35.682682,139.692133,268,京王バス,フォレストタウン
港区,35.62758,139.774911,269,都営バス,フジテレビ前
港区,35.627582,139.774898,270,京成バス（株）,フジテレビ前
港区,35.626669,139.773194,271,,フジテレビ前
港区,35.627841,139.774728,272,,フジテレビ前
港区,35.626231,139.774157,273,京成バス（株）,フジテレビ南口
足立区,35.800314,139.806633,274,足立区,フラワーロード
荒川区,35.738719,139.809511,275,京成バス（株）,フロンティアシティ
荒川区,35.738967,139.809606,276,京成バス（株）,フロンティアシティ
荒川区,35.73864,139.809541,277,京成バス（株）,フロンティアシティ
港区,35.658547,139.75774,278,港区,プラザ神明
新宿区,35.685717,139.692739,279,京王バス,プレッソイン新宿前
新宿区,35.685693,139.692719,280,小田急バス（株）,プレッソイン新宿前
江東区,35.675335,139.815549,281,,ホテルイースト21東京
練馬区,35.754624,139.620044,282,西武バス（株）,ホテルカデンツァ東京
練馬区,35.755426,139.620561,283,西武バス（株）,ホテルカデンツァ東京
新宿区,35.695718,139.70188,284,京王バス,ホテルグレイスリー新宿
中央区,35.65373,139.779879,285,都営バス,ホテルマリナーズコート東京前
中央区,35.654261,139.779824,286,都営バス,ホテルマリナーズコート東京前
豊島区,35.728085,139.707783,287,高速バス,ホテルメトロポリタン
豊島区,35.728004,139.707754,288,豊島区,ホテルメトロポリタン〔IKEBUS〕
文京区,35.71399,139.72597,289,都営バス,ホテル椿山荘東京前
文京区,35.711913,139.72605,290,,ホテル椿山荘東京前〔ホテル前〕
文京区,35.713225,139.726191,291,都営バス,ホテル椿山荘東京前〔ホテル前〕
文京区,35.713269,139.726167,292,文京区,ホテル椿山荘東京前〔ホテル前〕
江戸川区,35.706423,139.912096,293,京成バス（株）,ポニーランド
江戸川区,35.706538,139.912397,294,京成バス（株）,ポニーランド
葛飾区,35.788024,139.86842,295,京成バス（株）,ポプラ並木
葛飾区,35.787995,139.86833,296,京成バス（株）,ポプラ並木
中央区,35.673553,139.783117,297,中央区,マイホーム新川
江東区,35.646617,139.784822,298,千葉内陸バス,ミチノテラス豊洲
文京区,35.703742,139.754808,299,文京区,ミーツポート
世田谷区,35.653679,139.642423,300,小田急バス（株）,ユリの木公園
世田谷区,35.609897,139.632319,301,東急バス（株）,ライズ・プラザモール前
世田谷区,35.60989,139.632544,302,東急バス（株）,ライズ・プラザモール前
文京区,35.706626,139.753939,303,文京区,ラクーア
練馬区,35.736554,139.660128,304,関東バス（株）,リサイクルセンター入口
中央区,35.669115,139.776956,305,中央区,リハポート明石
