市区町村名,緯度,経度,区内バス停ID,バス会社名称,バス停名称,バス停数
練馬区,35.731404,139.61976,1783,関東バス（株）,南田中一丁目,1
練馬区,35.736965,139.614727,1784,西武バス（株）,南田中五丁目,2
練馬区,35.734485,139.614486,1786,西武バス（株）,南田中四丁目,2
練馬区,35.731285,139.619749,1788,西武バス（株）,南田中車庫,2
練馬区,35.759888,139.645508,1791,国際興業（株）,南田柄,2
板橋区,35.740356,139.702174,1792,国際興業（株）,南町,2
板橋区,35.739925,139.700136,1794,国際興業（株）,南町仲通り,1
板橋区,35.743156,139.699418,1795,国際興業（株）,南町住宅,2
練馬区,35.740313,139.653753,1797,練馬区,南町小学校,2
板橋区,35.738183,139.703698,1798,国際興業（株）,南町庚申通り,2
葛飾区,35.750357,139.843046,1800,葛飾区,南白鳥保育園,2
江東区,35.678819,139.824056,1802,都営バス,南砂一丁目,2
江東区,35.672986,139.826342,1803,都営バス,南砂三丁目,2
江東区,35.671096,139.832075,1805,都営バス,南砂三丁目みどり団地前,2
江東区,35.675759,139.822444,1807,都営バス,南砂二丁目,2
江東区,35.675079,139.833286,1808,都営バス,南砂五丁目団地,2
江東区,35.671095,139.834164,1810,都営バス,南砂六丁目,2
江東区,35.675456,139.824054,1811,都営バス,南砂四丁目,2
江東区,35.673682,139.832179,1812,都営バス,南砂四丁目住宅,2
江東区,35.667505,139.831492,1813,都営バス,南砂町駅入口,3
江東区,35.669182,139.831428,1816,都営バス,南砂町駅前,2
江戸川区,35.694041,139.90094,1818,京成バス（株）,南篠崎三丁目,2
大田区,35.556864,139.73931,1819,京成バス（株）,南糀谷,2
足立区,35.792311,139.817066,1821,東武バス,南花畑,2
足立区,35.788401,139.822034,1822,東武バス,南花畑一丁目,2
足立区,35.792307,139.824301,1824,東武バス,南花畑三丁目,2
足立区,35.795337,139.820851,1826,東武バス,南花畑四丁目,2
江戸川区,35.643953,139.875905,1827,都営バス,南葛西中学校前,4
江戸川区,35.646418,139.875874,1829,都営バス,南葛西会館前,2
江戸川区,35.652939,139.867433,1830,都営バス,南葛西住宅前,2
江戸川区,35.652258,139.872932,1831,都営バス,南葛西四丁目,2
江戸川区,35.646997,139.874649,1832,都営バス,南葛西小学校前,2
江戸川区,35.642455,139.871388,1834,都営バス,南葛西第三小学校前,2
江戸川区,35.649886,139.880053,1835,都営バス,南葛西第二小学校前,2
大田区,35.555251,139.720272,1836,京成バス（株）,南蒲田二丁目,2
練馬区,35.73215,139.64805,1837,関東バス（株）,南蔵院,2
練馬区,35.730114,139.647439,1840,関東バス（株）,南蔵院通り,2
板橋区,35.77316,139.669811,1841,国際興業（株）,南西台,2
新宿区,35.698608,139.697189,1842,関東バス（株）,南通り,2
台東区,35.706412,139.788695,1843,台東区,南部区民事務所,None
中野区,35.683257,139.661021,1845,京王バス,南部高齢者会館,1
豊島区,35.722941,139.686535,1846,都営バス,南長崎三丁目,1
豊島区,35.722796,139.690461,1849,都営バス,南長崎二丁目,2
豊島区,35.726524,139.681719,1852,都営バス,南長崎五丁目,1
練馬区,35.731347,139.677936,1853,国際興業（株）,南長崎六丁目,2
港区,35.672113,139.725433,1855,港区,南青山一丁目,1
港区,35.65983,139.718116,1856,都営バス,南青山七丁目,4
港区,35.668291,139.715038,1859,渋谷区,南青山三丁目交差点,2
港区,35.667486,139.718874,1860,都営バス,南青山二丁目,2
港区,35.662729,139.711596,1861,都営バス,南青山五丁目,1
港区,35.661249,139.714469,1862,都営バス,南青山六丁目,2
品川区,35.61384,139.741545,1865,東急バス（株）,南馬場,2
大田区,35.585616,139.719697,1867,東急バス（株）,南馬込三丁目,1
大田区,35.590779,139.718627,1868,東急バス（株）,南馬込二丁目,1
中央区,35.673593,139.782594,1869,都営バス,南高橋,1
足立区,35.784551,139.749955,1870,足立区,博慈会記念総合病院,1
荒川区,35.749572,139.780088,1871,都営バス,原中学校入口,1
渋谷区,35.673533,139.705308,1872,都営バス,原宿外苑中学校前,2
渋谷区,35.668138,139.701789,1874,渋谷区,原宿駅入口,2
渋谷区,35.670638,139.702766,1876,都営バス,原宿駅前,2
目黒区,35.614846,139.692777,1878,東急バス（株）,原町交番前,2
渋谷区,35.680068,139.693669,1879,渋谷区,参宮橋,2
渋谷区,35.680119,139.693618,1880,京王バス,参宮橋駅,2
足立区,35.806701,139.776581,1882,東武バス,古千谷,2
足立区,35.801378,139.773318,1884,東武バス,古千谷本町一丁目,2
足立区,35.805941,139.778699,1885,東武バス,古千谷橋,2
港区,35.646604,139.734994,1887,都営バス,古川橋,None
江戸川区,35.675864,139.878284,1889,京成バス（株）,古川親水公園〔京成バス〕,None
江戸川区,35.675842,139.878287,1890,都営バス,古川親水公園〔都営バス〕,None
渋谷区,35.668221,139.681347,1893,渋谷区,古賀音楽博物館,2
港区,35.630976,139.779071,1895,nan,台場一丁目,1
港区,35.628371,139.776303,1896,都営バス,台場二丁目,2
港区,35.625827,139.771649,1899,京成バス（株）,台場駅前,1
台東区,35.705256,139.779822,1902,台東区,台東三丁目,None
台東区,35.702856,139.780972,1903,京成バス（株）,台東二丁目,None
台東区,35.713797,139.781394,1904,台東区,台東保健所,None
台東区,35.712521,139.780709,1905,台東区,台東区役所,None
台東区,35.701497,139.779366,1909,台東区,台東地区センター,None
台東区,35.722537,139.792976,1910,台東区,台東病院,None
中野区,35.727159,139.665568,1911,都営バス,合同住宅前,2
新宿区,35.692124,139.726274,1913,都営バス,合羽坂下,4
台東区,35.724753,139.797036,1915,台東区,吉原大門,2
世田谷区,35.618132,139.619009,1919,東急バス（株）,吉沢,None
文京区,35.727035,139.753087,1923,都営バス,吉祥寺前,2
練馬区,35.722397,139.582004,1924,西武バス（株）,吉祥寺通り入口,2
江戸川区,35.702633,139.87345,1926,都営バス,同潤会,2
江戸川区,35.698391,139.890582,1927,京成バス（株）,名主屋敷,2
文京区,35.721078,139.75572,1929,文京区,向丘一丁目,2
文京区,35.72059,139.757898,1931,文京区,向丘二丁目,2
豊島区,35.728914,139.725458,1933,都営バス,向原,2
世田谷区,35.636448,139.651853,1934,東急バス（株）,向天神橋,5
練馬区,35.738581,139.641971,1938,西武バス（株）,向山町,2
墨田区,35.712853,139.811876,1939,都営バス,向島三丁目,2
墨田区,35.715523,139.809865,1940,都営バス,向島二丁目,2
墨田区,35.717218,139.812383,1941,都営バス,向島五丁目,2
墨田区,35.723297,139.81942,1942,都営バス,向島消防署前,2
世田谷区,35.638344,139.65872,1943,東急バス（株）,向橋,None
墨田区,35.709149,139.800846,1945,東武バス,吾妻橋,1
墨田区,35.708393,139.800894,1946,都営バス,吾妻橋一丁目,2
墨田区,35.707682,139.827683,1947,京成バス（株）,吾嬬神社入口,1
中央区,35.683438,139.771803,1948,日立自動車交通,呉服橋,None
世田谷区,35.616326,139.661996,1951,東急バス（株）,呑川緑道,1
千代田区,35.69863,139.779055,1952,千代田区,和泉公園入口前,1
千代田区,35.697423,139.774911,1953,千代田区,和泉橋出張所,1
練馬区,35.74883,139.60766,1954,西武バス（株）,和田,2
練馬区,35.740684,139.60821,1955,練馬区,和田堀公園,2
品川区,35.622412,139.753752,1956,都営バス,品川ふ頭橋,1
品川区,35.609316,139.749607,1957,都営バス,品川シーサイド駅前,2
品川区,35.60717,139.730286,1959,東急バス（株）,品川区役所入口,2
港区,35.631621,139.757634,1960,都営バス,品川埠頭,1
港区,35.629146,139.757739,1961,都営バス,品川埠頭岸壁入口,1
品川区,35.597123,139.729801,1962,品川区,品川歴史館北,None
