"路線ID","バス会社ID","バス停ID","バス停名称","路線名称"
12,432,250,"北砂五丁目団地","亀23(江東高齢者医療センター-亀戸駅前)[都営バス]"
12,432,251,"小名木川小学校入口","亀23(江東高齢者医療センター-亀戸駅前)[都営バス]"
12,432,252,"大島一丁目(東京都)","亀23(江東高齢者医療センター-亀戸駅前)[都営バス]"
12,432,253,"西大島駅前","亀23(江東高齢者医療センター-亀戸駅前)[都営バス]"
12,432,254,"五ノ橋","亀23(江東高齢者医療センター-亀戸駅前)[都営バス]"
12,432,255,"亀戸駅通り","亀23(江東高齢者医療センター-亀戸駅前)[都営バス]"
12,432,232,"亀戸駅前","亀23(江東高齢者医療センター-亀戸駅前)[都営バス]"
13,432,256,"葛西橋","亀24[都営バス]"
13,432,184,"東砂六丁目北","亀24[都営バス]"
13,432,257,"東砂五丁目","亀24[都営バス]"
13,432,258,"第七砂町小学校前","亀24[都営バス]"
13,432,259,"東砂三丁目","亀24[都営バス]"
13,432,260,"東砂二丁目","亀24[都営バス]"
13,432,261,"第五大島小学校前","亀24[都営バス]"
13,432,262,"東大島駅入口","亀24[都営バス]"
13,432,263,"大島八丁目","亀24[都営バス]"
13,432,264,"大島七丁目","亀24[都営バス]"
13,432,265,"中の橋通り","亀24[都営バス]"
13,432,266,"大島駅前","亀24[都営バス]"
13,432,267,"大島三丁目(東京都)","亀24[都営バス]"
13,432,253,"西大島駅前","亀24[都営バス]"
13,432,254,"五ノ橋","亀24[都営バス]"
13,432,255,"亀戸駅通り","亀24[都営バス]"
13,432,232,"亀戸駅前","亀24[都営バス]"
14,432,268,"今井〔都営バス〕","亀26[都営バス]"
14,432,269,"一之江駅前","亀26[都営バス]"
14,432,270,"一之江四丁目","亀26[都営バス]"
14,432,271,"一之江五丁目","亀26[都営バス]"
14,432,272,"西一之江三丁目","亀26[都営バス]"
14,432,273,"西一之江四丁目","亀26[都営バス]"
14,432,274,"松江(東京都)","亀26[都営バス]"
14,432,275,"東小松川一丁目","亀26[都営バス]"
14,432,276,"京葉交差点","亀26[都営バス]"
14,432,277,"小松川警察署前","亀26[都営バス]"
14,432,278,"小松川三丁目","亀26[都営バス]"
14,432,279,"中川新橋","亀26[都営バス]"
14,432,280,"浅間神社(江東区)","亀26[都営バス]"
14,432,281,"亀戸九丁目","亀26[都営バス]"
14,432,282,"亀戸七丁目","亀26[都営バス]"
14,432,230,"亀戸六丁目","亀26[都営バス]"
14,432,231,"水神森","亀26[都営バス]"
14,432,232,"亀戸駅前","亀26[都営バス]"
15,432,283,"なぎさニュータウン","亀29[都営バス]"
15,432,284,"南葛西小学校前","亀29[都営バス]"
15,432,285,"堀江団地","亀29[都営バス]"
15,432,286,"堀江団地入口","亀29[都営バス]"
15,432,287,"葛西南高校前","亀29[都営バス]"
15,432,288,"新田(東京都)","亀29[都営バス]"
15,432,289,"第四葛西小学校前","亀29[都営バス]"
15,432,290,"葛西駅通り","亀29[都営バス]"
15,432,291,"中葛西五丁目","亀29[都営バス]"
15,432,292,"西葛西六丁目","亀29[都営バス]"
15,432,293,"西葛西駅前","亀29[都営バス]"
15,432,294,"スポーツセンター前(江戸川区)","亀29[都営バス]"
15,432,295,"宇喜田","亀29[都営バス]"
15,432,296,"葛西橋東詰","亀29[都営バス]"
15,432,297,"東砂六丁目","亀29[都営バス]"
15,432,298,"旧葛西橋","亀29[都営バス]"
15,432,221,"東砂四丁目","亀29[都営バス]"
15,432,299,"亀高橋","亀29[都営バス]"
15,432,300,"北砂四丁目","亀29[都営バス]"
15,432,301,"境川(東京都)","亀29[都営バス]"
15,432,302,"北砂二丁目","亀29[都営バス]"
15,432,303,"北砂三丁目","亀29[都営バス]"
15,432,252,"大島一丁目(東京都)","亀29[都営バス]"
15,432,253,"西大島駅前","亀29[都営バス]"
15,432,254,"五ノ橋","亀29[都営バス]"
15,432,255,"亀戸駅通り","亀29[都営バス]"
15,432,232,"亀戸駅前","亀29[都営バス]"
16,432,304,"大井町駅東口","井92(大井町駅東口-八潮パークタウン)[都営バス]"
16,432,305,"仙台坂","井92(大井町駅東口-八潮パークタウン)[都営バス]"
16,432,306,"青物横丁","井92(大井町駅東口-八潮パークタウン)[都営バス]"
16,432,307,"都立八潮高校前","井92(大井町駅東口-八潮パークタウン)[都営バス]"
16,432,308,"都立産業技術高専品川キャンパス前","井92(大井町駅東口-八潮パークタウン)[都営バス]"
16,432,309,"品川総合福祉センター前","井92(大井町駅東口-八潮パークタウン)[都営バス]"
16,432,310,"明晴学園前","井92(大井町駅東口-八潮パークタウン)[都営バス]"
16,432,311,"八潮北","井92(大井町駅東口-八潮パークタウン)[都営バス]"
16,432,312,"八潮パークタウン","井92(大井町駅東口-八潮パークタウン)[都営バス]"
17,432,313,"大井町駅東口","井96(大井町駅東口-天王洲アイル)[都営バス]"
17,432,305,"仙台坂","井96(大井町駅東口-天王洲アイル)[都営バス]"
17,432,306,"青物横丁","井96(大井町駅東口-天王洲アイル)[都営バス]"
17,432,314,"都立八潮高校前","井96(大井町駅東口-天王洲アイル)[都営バス]"
17,432,315,"東品川ゆうゆうプラザ前","井96(大井町駅東口-天王洲アイル)[都営バス]"
17,432,316,"東品川橋","井96(大井町駅東口-天王洲アイル)[都営バス]"
17,432,317,"天王洲公園前","井96(大井町駅東口-天王洲アイル)[都営バス]"
17,432,318,"天王洲アイル","井96(大井町駅東口-天王洲アイル)[都営バス]"
18,432,318,"天王洲アイル","井96(天王洲アイル-大井町駅東口)[都営バス]"
18,432,319,"新東海橋","井96(天王洲アイル-大井町駅東口)[都営バス]"
18,432,320,"昭和橋(品川区)","井96(天王洲アイル-大井町駅東口)[都営バス]"
18,432,321,"東品川三丁目","井96(天王洲アイル-大井町駅東口)[都営バス]"
18,432,322,"南品川二丁目","井96(天王洲アイル-大井町駅東口)[都営バス]"
18,432,323,"南馬場","井96(天王洲アイル-大井町駅東口)[都営バス]"
18,432,324,"南品川五丁目","井96(天王洲アイル-大井町駅東口)[都営バス]"
18,432,325,"青物横丁","井96(天王洲アイル-大井町駅東口)[都営バス]"
18,432,326,"仙台坂","井96(天王洲アイル-大井町駅東口)[都営バス]"
18,432,327,"大井町駅東口","井96(天王洲アイル-大井町駅東口)[都営バス]"
19,432,328,"大井町駅東口","井98[都営バス]"
19,432,305,"仙台坂","井98[都営バス]"
19,432,306,"青物横丁","井98[都営バス]"
19,432,314,"都立八潮高校前","井98[都営バス]"
19,432,329,"品川清掃工場前","井98[都営バス]"
19,432,330,"2号バース前","井98[都営バス]"
19,432,331,"3号バース前","井98[都営バス]"
19,432,332,"4号バース前","井98[都営バス]"
19,432,333,"5号バース前","井98[都営バス]"
19,432,334,"6号バース前","井98[都営バス]"
19,432,335,"みなとが丘ふ頭公園前","井98[都営バス]"
19,432,336,"東京税関大井出張所前","井98[都営バス]"
19,432,337,"八潮二丁目","井98[都営バス]"
19,432,338,"大井水産物埠頭入口","井98[都営バス]"
19,432,339,"ニチレイ前","井98[都営バス]"
19,432,340,"セントラルビル前","井98[都営バス]"
19,432,341,"鴻池運輸前","井98[都営バス]"
19,432,342,"丸全昭和前","井98[都営バス]"
19,432,343,"ダイトー大井物流センター前","井98[都営バス]"
19,432,344,"大井埠頭バンプール前","井98[都営バス]"
19,432,345,"大井シャシープール前","井98[都営バス]"
19,432,346,"大井水産物埠頭前","井98[都営バス]"
20,432,347,"足立清掃工場前〔都営バス〕","北47(足立清掃工場前-竹の塚駅前)[都営バス]"
20,432,348,"水神(足立区)","北47(足立清掃工場前-竹の塚駅前)[都営バス]"
20,432,349,"北保木間","北47(足立清掃工場前-竹の塚駅前)[都営バス]"
